"","date","province","confirmed_cases","active_cases"
"115",2020-05-02,"NORTHERN CAPE",23,3
"116",2020-05-02,"NORTH WEST",35,22
"117",2020-05-02,"WESTERN CAPE",2700,1865
"118",2020-05-03,"EASTERN CAPE",774,482
"119",2020-05-03,"FREE STATE",122,20
"120",2020-05-03,"GAUTENG",1624,662
"121",2020-05-03,"KWAZULU NATAL",1076,667
"122",2020-05-03,"LIMPOPO",37,10
"123",2020-05-03,"MPUMALANGA",46,28
"124",2020-05-03,"NORTHERN CAPE",24,4
"125",2020-05-03,"NORTH WEST",36,23
"126",2020-05-03,"WESTERN CAPE",3044,2207
"127",2020-05-04,"EASTERN CAPE",814,456
"128",2020-05-04,"FREE STATE",125,23
"129",2020-05-04,"GAUTENG",1651,658
"130",2020-05-04,"KWAZULU NATAL",1106,656
"131",2020-05-04,"LIMPOPO",39,10
"132",2020-05-04,"MPUMALANGA",53,31
"133",2020-05-04,"NORTHERN CAPE",25,5
"134",2020-05-04,"NORTH WEST",35,22
"135",2020-05-04,"WESTERN CAPE",3362,2465
"136",2020-05-05,"EASTERN CAPE",838,479
"137",2020-05-05,"FREE STATE",128,26
"138",2020-05-05,"GAUTENG",1697,703
"139",2020-05-05,"KWAZULU NATAL",1142,691
"140",2020-05-05,"LIMPOPO",40,11
"141",2020-05-05,"MPUMALANGA",57,35
"142",2020-05-05,"NORTHERN CAPE",26,6
"143",2020-05-05,"NORTH WEST",35,22
"144",2020-05-05,"WESTERN CAPE",3609,2705
"145",2020-05-06,"EASTERN CAPE",849,443
"146",2020-05-06,"FREE STATE",130,22
"147",2020-05-06,"GAUTENG",1720,669
"148",2020-05-06,"KWAZULU NATAL",1149,691
"149",2020-05-06,"LIMPOPO",40,10
"150",2020-05-06,"MPUMALANGA",57,35
"151",2020-05-06,"NORTHERN CAPE",26,6
"152",2020-05-06,"NORTH WEST",37,21
"153",2020-05-06,"WESTERN CAPE",3760,2565
"154",2020-05-07,"EASTERN CAPE",929,523
"155",2020-05-07,"FREE STATE",134,26
"156",2020-05-07,"GAUTENG",1804,753
"157",2020-05-07,"KWAZULU NATAL",1204,744
"158",2020-05-07,"LIMPOPO",41,11
"159",2020-05-07,"MPUMALANGA",59,37
"160",2020-05-07,"NORTHERN CAPE",27,7
"161",2020-05-07,"NORTH WEST",40,24
"162",2020-05-07,"WESTERN CAPE",3994,2793
"163",2020-05-08,"EASTERN CAPE",989,580
"164",2020-05-08,"FREE STATE",133,25
"165",2020-05-08,"GAUTENG",1851,797
"166",2020-05-08,"KWAZULU NATAL",1253,791
"167",2020-05-08,"LIMPOPO",43,13
"168",2020-05-08,"MPUMALANGA",60,38
"169",2020-05-08,"NORTHERN CAPE",27,7
"170",2020-05-08,"NORTH WEST",42,26
"171",2020-05-08,"WESTERN CAPE",4497,3287
"172",2020-05-10,"EASTERN CAPE",1218,677
"173",2020-05-10,"FREE STATE",135,24
"174",2020-05-10,"GAUTENG",1952,683
"175",2020-05-10,"KWAZULU NATAL",1353,704
"176",2020-05-10,"LIMPOPO",54,23
"177",2020-05-10,"MPUMALANGA",61,39
"178",2020-05-10,"NORTHERN CAPE",29,6
"179",2020-05-10,"NORTH WEST",45,29
"180",2020-05-10,"WESTERN CAPE",5168,3463
"181",2020-05-13,"EASTERN CAPE",1534,878
"182",2020-05-13,"FREE STATE",138,25
"183",2020-05-13,"GAUTENG",2074,707
"184",2020-05-13,"KWAZULU NATAL",1413,751
"185",2020-05-13,"LIMPOPO",54,21
"186",2020-05-13,"MPUMALANGA",66,42
"187",2020-05-13,"NORTHERN CAPE",30,6
"188",2020-05-13,"NORTH WEST",52,34
"189",2020-05-13,"WESTERN CAPE",6713,4646
"190",2020-05-14,"EASTERN CAPE",1569,895
"191",2020-05-14,"FREE STATE",145,31
"192",2020-05-14,"GAUTENG",2135,564
"193",2020-05-14,"KWAZULU NATAL",1444,711
"194",2020-05-14,"LIMPOPO",55,17
"195",2020-05-14,"MPUMALANGA",67,33
"196",2020-05-14,"NORTHERN CAPE",31,3
"197",2020-05-14,"NORTH WEST",58,38
"198",2020-05-14,"WESTERN CAPE",7235,4533
"199",2020-05-15,"EASTERN CAPE",1662,988
"200",2020-05-15,"FREE STATE",151,37
"201",2020-05-15,"GAUTENG",2210,634
"202",2020-05-15,"KWAZULU NATAL",1482,642
"203",2020-05-15,"LIMPOPO",57,18
"204",2020-05-15,"MPUMALANGA",67,23
"205",2020-05-15,"NORTHERN CAPE",34,14
"206",2020-05-15,"NORTH WEST",63,34
"207",2020-05-15,"WESTERN CAPE",7798,4804
"208",2020-05-16,"EASTERN CAPE",1812,1034
"209",2020-05-16,"FREE STATE",153,39
"210",2020-05-16,"GAUTENG",2262,654
"211",2020-05-16,"KWAZULU NATAL",1498,647
