"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"60","18/04/2020",18,4,2020,51,1,"Afghanistan","AF","AFG",37172386,"Asia"
"61","17/04/2020",17,4,2020,10,4,"Afghanistan","AF","AFG",37172386,"Asia"
"62","16/04/2020",16,4,2020,70,2,"Afghanistan","AF","AFG",37172386,"Asia"
"63","15/04/2020",15,4,2020,49,2,"Afghanistan","AF","AFG",37172386,"Asia"
"64","14/04/2020",14,4,2020,58,3,"Afghanistan","AF","AFG",37172386,"Asia"
"65","13/04/2020",13,4,2020,52,0,"Afghanistan","AF","AFG",37172386,"Asia"
"66","12/04/2020",12,4,2020,34,3,"Afghanistan","AF","AFG",37172386,"Asia"
"67","11/04/2020",11,4,2020,37,0,"Afghanistan","AF","AFG",37172386,"Asia"
"68","10/04/2020",10,4,2020,61,1,"Afghanistan","AF","AFG",37172386,"Asia"
"69","09/04/2020",9,4,2020,56,3,"Afghanistan","AF","AFG",37172386,"Asia"
"70","08/04/2020",8,4,2020,30,4,"Afghanistan","AF","AFG",37172386,"Asia"
"71","07/04/2020",7,4,2020,38,0,"Afghanistan","AF","AFG",37172386,"Asia"
"72","06/04/2020",6,4,2020,29,2,"Afghanistan","AF","AFG",37172386,"Asia"
"73","05/04/2020",5,4,2020,35,1,"Afghanistan","AF","AFG",37172386,"Asia"
"74","04/04/2020",4,4,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"75","03/04/2020",3,4,2020,43,0,"Afghanistan","AF","AFG",37172386,"Asia"
"76","02/04/2020",2,4,2020,26,0,"Afghanistan","AF","AFG",37172386,"Asia"
"77","01/04/2020",1,4,2020,25,0,"Afghanistan","AF","AFG",37172386,"Asia"
"78","31/03/2020",31,3,2020,27,0,"Afghanistan","AF","AFG",37172386,"Asia"
"79","30/03/2020",30,3,2020,8,1,"Afghanistan","AF","AFG",37172386,"Asia"
"80","29/03/2020",29,3,2020,15,1,"Afghanistan","AF","AFG",37172386,"Asia"
"81","28/03/2020",28,3,2020,16,1,"Afghanistan","AF","AFG",37172386,"Asia"
"82","27/03/2020",27,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"83","26/03/2020",26,3,2020,33,0,"Afghanistan","AF","AFG",37172386,"Asia"
"84","25/03/2020",25,3,2020,2,0,"Afghanistan","AF","AFG",37172386,"Asia"
"85","24/03/2020",24,3,2020,6,1,"Afghanistan","AF","AFG",37172386,"Asia"
"86","23/03/2020",23,3,2020,10,0,"Afghanistan","AF","AFG",37172386,"Asia"
"87","22/03/2020",22,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"88","21/03/2020",21,3,2020,2,0,"Afghanistan","AF","AFG",37172386,"Asia"
"89","20/03/2020",20,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"90","19/03/2020",19,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"91","18/03/2020",18,3,2020,1,0,"Afghanistan","AF","AFG",37172386,"Asia"
"92","17/03/2020",17,3,2020,5,0,"Afghanistan","AF","AFG",37172386,"Asia"
"93","16/03/2020",16,3,2020,6,0,"Afghanistan","AF","AFG",37172386,"Asia"
"94","15/03/2020",15,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia"
"95","11/03/2020",11,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia"
"96","08/03/2020",8,3,2020,3,0,"Afghanistan","AF","AFG",37172386,"Asia"
"97","02/03/2020",2,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"98","01/03/2020",1,3,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"99","29/02/2020",29,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"100","28/02/2020",28,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"101","27/02/2020",27,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
"102","26/02/2020",26,2,2020,0,0,"Afghanistan","AF","AFG",37172386,"Asia"
